rank,name,site_type,latitude,longitude,score_repd,score_industrial,score_combined,pvout_kwh_kwp,in_protected_area,in_sssi,in_flood_zone,in_grade1_agri,capacity_kwp,annual_gen_kwh,annual_saving_gbp,capex_gbp,payback_yr,npv_gbp,battery_value,fin_score,constraint_score,geo_score,final_score
89,Barnard Castle Sewage Treatment Works,wastewater_plant,54.5349587,-1.9100995,0.09930676,0.6103285,0.35481763,754.6471313,0,0,0,0,500.0,377324.0,48109.0,500000.0,10.4,85056.0,0.45,0.73,1.0,0.35481763,0.634
90,Stamfordham STW,wastewater_plant,55.0416559,-1.8697334,0.006422629,0.69386566,0.35014415,762.985682608,0,0,0,0,500.0,381493.0,48640.0,500000.0,10.3,91520.0,0.45,0.736,1.0,0.35014414450000003,0.634
91,Causey Arch STW,wastewater_plant,54.8991904,-1.6833297,0.013218244,0.6724859,0.34285206,765.4034962400001,0,0,0,0,500.0,382702.0,48794.0,500000.0,10.2,93395.0,0.45,0.738,1.0,0.342852072,0.632
92,Newbiggin by the Sea Sewage Pumping Station,pumping_station,55.1754595,-1.5215565,0.27437857,0.8056602,0.5400194,781.30494573,0,0,0,0,100.0,78130.0,7032.0,100000.0,14.2,-14486.0,0.75,0.539,1.0,0.540019385,0.632
93,Great Broughton STW,wastewater_plant,54.4568941,-1.1665827,0.12954752,0.5623924,0.34596997,758.217075252,0,0,0,0,500.0,379109.0,48336.0,500000.0,10.3,87823.0,0.45,0.733,1.0,0.34596996,0.632
94,Redesmouth STW,wastewater_plant,55.1346966,-2.2151248,0.00069058355,0.71184474,0.35626766,742.2696618399999,0,0,0,0,500.0,371135.0,47320.0,500000.0,10.6,75460.0,0.45,0.722,1.0,0.35626766177499997,0.631
95,East Woodburn STW,wastewater_plant,55.1765326,-2.1468046,0.42831016,0.26434466,0.34632742,746.9292359759997,0,0,0,0,500.0,373465.0,47617.0,500000.0,10.5,79072.0,0.45,0.725,1.0,0.34632741,0.629
96,Felton STW,wastewater_plant,55.2994642,-1.7005961,0.0143322,0.6290541,0.32169315,780.2085245680001,0,0,0,0,500.0,390104.0,49738.0,500000.0,10.1,104872.0,0.45,0.747,1.0,0.32169315,0.627
97,Alnmouth WwTW,wastewater_plant,55.3963189,-1.6210194,0.46963388,0.6518339,0.5607339,779.8115006871429,1,0,0,0,500.0,389906.0,49713.0,500000.0,10.1,104565.0,0.45,0.747,0.5,0.56073389,0.623
98,Birney Hill,reservoir_covered,55.0208377,-1.760606,0.29650024,0.65330625,0.47490323,766.3198150840001,0,0,0,0,150.0,114948.0,11207.0,150000.0,13.4,-13705.0,0.55,0.581,1.0,0.47490324500000003,0.622
99,Newton Under Roseberry STW,wastewater_plant,54.5102583,-1.1240179,0.49458298,0.110781804,0.3026824,765.2957834359997,0,0,0,0,500.0,382648.0,48788.0,500000.0,10.2,93311.0,0.45,0.738,1.0,0.302682392,0.616
100,Romaldkirk STW,wastewater_plant,54.5961748,-2.0037107,0.00019570866,0.6320581,0.31612688,744.7637007359999,0,0,0,0,500.0,372382.0,47479.0,500000.0,10.5,77393.0,0.45,0.723,1.0,0.31612690432999996,0.616
101,Bishopton STW,wastewater_plant,54.5871119,-1.4431664,0.021281183,0.57304406,0.29716262,774.9974346839999,0,0,0,0,500.0,387499.0,49406.0,500000.0,10.1,100832.0,0.45,0.744,1.0,0.2971626215,0.616
102,Middleton-in-Teesdale STW,wastewater_plant,54.6197038,-2.0759508,0.5832066,0.056947377,0.32007697,732.312795984,0,0,0,0,500.0,366156.0,46685.0,500000.0,10.7,67740.0,0.45,0.714,1.0,0.3200769885,0.614
103,Berwick STW,wastewater_plant,55.7659598,-2.0305288,0.23787892,0.5527705,0.3953247,768.9784983451431,0,0,0,1,500.0,384489.0,49022.0,500000.0,10.2,96166.0,0.45,0.74,0.8,0.39532471,0.614
104,,pumping_station,55.194183,-1.6549953,0.08131963,0.89671814,0.4890189,779.0930562200002,0,0,0,0,100.0,77909.0,7012.0,100000.0,14.3,-14728.0,0.75,0.537,1.0,0.489018885,0.61
105,Satley STW,wastewater_plant,54.7893344,-1.8145828,0.002573802,0.5749337,0.28875375,760.260595248,0,0,0,0,500.0,380130.0,48467.0,500000.0,10.3,89407.0,0.45,0.734,1.0,0.288753751,0.609
106,Low Worsall WwTW,wastewater_plant,54.4853885,-1.3977682,0.035628654,0.5295509,0.2825898,768.120965468,0,0,0,0,500.0,384060.0,48968.0,500000.0,10.2,95501.0,0.45,0.739,1.0,0.28258977700000004,0.609
107,,pumping_station,55.1566938,-1.6703045,0.90284276,0.0591083,0.48097554,776.149501772,0,0,0,0,100.0,77615.0,6985.0,100000.0,14.3,-15050.0,0.75,0.534,1.0,0.48097553,0.606
108,Netherton STW,wastewater_plant,55.3619846,-2.0155147,0.0010517807,0.54906267,0.27505723,747.1260919879999,0,0,0,0,500.0,373563.0,47629.0,500000.0,10.5,79225.0,0.45,0.725,1.0,0.27505722535,0.6
109,Kirkwhelptington STW,wastewater_plant,55.1545609,-2.0016065,0.002776438,0.5146811,0.25872877,759.5341147799999,0,0,0,0,500.0,379767.0,48420.0,500000.0,10.3,88844.0,0.45,0.734,1.0,0.258728769,0.597
110,,pumping_station,55.0135394,-1.7161966,0.29574996,0.60319704,0.4494735,767.773446568,0,0,0,0,100.0,76777.0,6910.0,100000.0,14.5,-15967.0,0.75,0.526,1.0,0.44947349999999997,0.59
111,Moorsholm Sewage Treatment Works,wastewater_plant,54.5244637,-0.9351772,0.008672796,0.43780562,0.22323921,769.78170478,0,0,0,0,500.0,384891.0,49074.0,500000.0,10.2,96789.0,0.45,0.741,1.0,0.223239208,0.586
112,Whittle Colliery STW,wastewater_plant,55.3534043,-1.726259,0.31002504,0.11400909,0.21201706,781.6638421920001,0,0,0,0,500.0,390832.0,49831.0,500000.0,10.0,106001.0,0.45,0.748,1.0,0.21201706499999998,0.584
113,Wooler WWTW,wastewater_plant,55.5539378,-2.0053571,0.23598675,0.15941636,0.19770156,759.555862324,0,0,0,0,500.0,379778.0,48422.0,500000.0,10.3,88861.0,0.45,0.734,1.0,0.197701555,0.573
114,Stanhope STW,wastewater_plant,54.7365976,-1.9917427,0.2545418,0.11562736,0.18508458,751.7290857879999,0,0,0,0,500.0,375865.0,47923.0,500000.0,10.4,82793.0,0.45,0.728,1.0,0.18508458,0.565
115,Whittingham STW,wastewater_plant,55.4024631,-1.8895958,0.012731642,0.32112062,0.16692613,760.8673333879999,0,0,0,0,500.0,380434.0,48505.0,500000.0,10.3,89878.0,0.45,0.735,1.0,0.166926131,0.561
116,Hutton Magna STW,wastewater_plant,54.5090579,-1.8059834,0.033768397,0.29028195,0.16202517,759.9005504279999,0,0,0,0,500.0,379950.0,48444.0,500000.0,10.3,89128.0,0.45,0.734,1.0,0.1620251735,0.558
117,East Layton STW,wastewater_plant,54.4855338,-1.7468296,0.025660617,0.28160498,0.15363279,765.7091877839999,0,0,0,0,500.0,382855.0,48814.0,500000.0,10.2,93632.0,0.45,0.738,1.0,0.1536327985,0.557
118,Eppleby STW,wastewater_plant,54.5128708,-1.721035,0.0066970335,0.42612118,0.2164091,767.2631299679998,0,0,0,1,500.0,383632.0,48913.0,500000.0,10.2,94836.0,0.45,0.739,0.8,0.21640910675,0.542
119,Whalton STW,wastewater_plant,55.1217517,-1.8068768,0.0043529295,0.22197889,0.11316591,768.2502529239999,0,0,0,0,500.0,384125.0,48976.0,500000.0,10.2,95602.0,0.45,0.74,1.0,0.11316590975,0.541
120,Barrasford STW,wastewater_plant,55.0527601,-2.1288843,0.098580115,0.14103961,0.119809866,745.493385972,0,0,0,0,500.0,372747.0,47525.0,500000.0,10.5,77959.0,0.45,0.724,1.0,0.1198098625,0.538
121,Butterknowle Sewage Treatment Works,wastewater_plant,54.6250095,-1.8219043,0.0037491857,0.21738374,0.11056647,760.13841786,0,0,0,0,500.0,380069.0,48459.0,500000.0,10.3,89313.0,0.45,0.734,1.0,0.11056646284999999,0.538
122,Eglingham STW,wastewater_plant,55.4639304,-1.8208901,0.0012455317,0.19468176,0.097963646,772.276401272,0,0,0,0,500.0,386138.0,49233.0,500000.0,10.2,98723.0,0.45,0.742,1.0,0.09796364585,0.536
123,Millfield STW,wastewater_plant,55.6029125,-2.0990817,0.096273646,0.104079194,0.100176424,761.1987593200001,0,0,0,0,500.0,380599.0,48526.0,500000.0,10.3,90135.0,0.45,0.735,1.0,0.10017642,0.534
124,Caldwell STW,wastewater_plant,54.5121486,-1.747646,0.01567293,0.17164794,0.09366043,764.9444258159998,0,0,0,0,500.0,382472.0,48765.0,500000.0,10.3,93039.0,0.45,0.737,1.0,0.093660435,0.532
125,Wall STW,wastewater_plant,55.0122253,-2.1358623,0.10692808,0.108817816,0.10787295,742.8916247399999,0,0,0,0,500.0,371446.0,47359.0,500000.0,10.6,75942.0,0.45,0.722,1.0,0.107872948,0.532
126,Belsay STW,wastewater_plant,55.1034484,-1.8376604,0.09943517,0.06834917,0.08389217,766.3800914079999,0,0,0,0,500.0,383190.0,48857.0,500000.0,10.2,94152.0,0.45,0.738,1.0,0.08389217,0.529
127,,water_works,55.2380882,-1.9210771,0.0029743453,0.22444297,0.11370866,763.6583899279998,0,0,0,0,300.0,229098.0,27492.0,300000.0,10.9,34329.0,0.5,0.704,1.0,0.11370865764999999,0.527
128,Lartington Water Treatment Waters,water_works,54.5590437,-1.9844569,0.0014682366,0.22639321,0.113930725,747.4032587119998,0,0,0,0,300.0,224221.0,26907.0,300000.0,11.1,27213.0,0.5,0.693,1.0,0.11393072330000001,0.523
129,Chatton STW,wastewater_plant,55.5516957,-1.9098013,0.0039062444,0.13272336,0.068314806,764.8536024760001,0,0,0,0,500.0,382427.0,48759.0,500000.0,10.3,92968.0,0.45,0.737,1.0,0.06831480220000001,0.522
130,Birtley STW,wastewater_plant,55.0934823,-2.1935145,0.00042007593,0.1579598,0.07918994,742.8029159319999,0,0,0,0,500.0,371401.0,47354.0,500000.0,10.6,75873.0,0.45,0.722,1.0,0.07918993796500001,0.52
131,WWTW,wastewater_plant,55.3072717,-1.6078742,0.015858268,0.08737006,0.051614165,782.98538684,0,0,0,0,500.0,391493.0,49915.0,500000.0,10.0,107025.0,0.45,0.749,1.0,0.051614164,0.52
132,Slaley STW,wastewater_plant,54.9101341,-2.0270138,0.026616842,0.10506065,0.06583875,748.825956672,0,0,0,0,500.0,374413.0,47738.0,500000.0,10.5,80543.0,0.45,0.726,1.0,0.065838746,0.517
133,Fontburn STW,wastewater_plant,55.2380816,-1.9222835,0.0014321124,0.113472626,0.05745237,763.5056993039998,0,0,0,0,500.0,381753.0,48673.0,500000.0,10.3,91923.0,0.45,0.736,1.0,0.0574523692,0.517
134,Ellingham STW,wastewater_plant,55.524542,-1.7307678,0.008229281,0.076089695,0.042159487,779.3486999074286,0,0,0,0,500.0,389674.0,49683.0,500000.0,10.1,104206.0,0.45,0.747,1.0,0.042159488,0.516
